Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1900,0.283,0.08,0.425,0.177,0.137,0.21,0.74,0.641,0.851,2.822,2.679,2.982
1901,0.283,0.08,0.425,0.177,0.132,0.204,0.74,0.641,0.851,2.822,2.679,2.982
1902,0.283,0.08,0.425,0.177,0.143,0.211,0.74,0.641,0.851,2.822,2.679,2.982
1903,0.269,0.074,0.392,0.18,0.148,0.22,0.74,0.641,0.851,2.822,2.679,2.982
1904,0.258,0.069,0.365,0.182,0.151,0.222,0.74,0.641,0.851,2.822,2.679,2.982
1905,0.258,0.069,0.365,0.182,0.151,0.222,0.74,0.641,0.851,2.822,2.679,2.982
1906,0.258,0.069,0.365,0.182,0.142,0.213,0.74,0.641,0.851,2.822,2.679,2.982
1907,0.258,0.065,0.361,0.181,0.151,0.223,0.74,0.641,0.851,2.822,2.679,2.982
1908,0.258,0.065,0.36,0.182,0.147,0.218,0.74,0.641,0.851,2.822,2.679,2.982
1909,0.258,0.065,0.36,0.182,0.151,0.223,0.74,0.641,0.851,2.822,2.679,2.982
1910,0.258,0.065,0.36,0.182,0.151,0.223,0.74,0.641,0.851,2.822,2.679,2.982
1911,0.258,0.065,0.36,0.182,0.151,0.223,0.74,0.641,0.851,2.822,2.679,2.982
1912,0.251,0.065,0.354,0.183,0.149,0.22,0.74,0.641,0.851,2.822,2.679,2.982
1913,0.251,0.065,0.354,0.183,0.15,0.221,0.74,0.641,0.851,2.822,2.679,2.982
1914,0.247,0.088,0.385,0.171,0.134,0.205,0.724,0.615,0.842,2.749,2.602,2.891
1915,0.247,0.088,0.385,0.167,0.132,0.202,0.724,0.615,0.842,2.749,2.602,2.891
1916,0.247,0.088,0.385,0.167,0.129,0.199,0.724,0.615,0.842,2.749,2.602,2.891
1917,0.247,0.088,0.385,0.169,0.134,0.205,0.724,0.615,0.842,2.749,2.602,2.891
1918,0.244,0.063,0.347,0.171,0.137,0.206,0.728,0.635,0.844,2.73,2.58,2.87
1919,0.132,0.018,0.202,0.437,0.381,0.501,0.786,0.706,0.896,2.87,2.729,3.021
1920,0.117,0.01,0.176,0.499,0.435,0.564,0.793,0.714,0.896,2.944,2.783,3.076
1921,0.114,0.01,0.174,0.511,0.443,0.571,0.798,0.72,0.909,2.944,2.783,3.076
1922,0.114,0.01,0.174,0.506,0.441,0.568,0.798,0.72,0.909,2.944,2.783,3.076
1923,0.114,0.01,0.174,0.5,0.432,0.556,0.798,0.72,0.909,2.944,2.783,3.076
1924,0.119,0.01,0.18,0.485,0.424,0.548,0.798,0.72,0.909,2.944,2.783,3.076
1925,0.12,0.008,0.175,0.477,0.419,0.54,0.795,0.722,0.904,2.944,2.783,3.076
1926,0.119,0.008,0.173,0.482,0.418,0.542,0.795,0.722,0.904,2.944,2.783,3.076
1927,0.119,0.008,0.173,0.482,0.418,0.542,0.795,0.722,0.904,2.944,2.783,3.076
1928,0.122,0.011,0.182,0.481,0.416,0.54,0.795,0.722,0.904,2.944,2.783,3.076
1929,0.124,0.013,0.188,0.483,0.427,0.555,0.795,0.722,0.904,2.944,2.783,3.076
1930,0.121,0.012,0.184,0.462,0.4,0.523,0.795,0.722,0.904,2.944,2.783,3.076
1931,0.115,0.01,0.177,0.429,0.363,0.49,0.795,0.722,0.904,2.944,2.783,3.076
1932,0.115,0.011,0.181,0.418,0.355,0.482,0.777,0.683,0.881,2.944,2.783,3.076
1933,0.276,0.082,0.4,0.05,0.032,0.064,0.284,0.147,0.386,1.716,1.537,1.908
1934,0.489,0.264,0.734,0.015,0.009,0.019,0.045,0.007,0.067,1.062,0.868,1.264
1935,0.489,0.264,0.734,0.011,0.005,0.015,0.045,0.007,0.067,1.062,0.868,1.264
