year,evidence_intuition_diffpool_score_mean,evidence_mean,intuition_mean,count,ddi,transparent_laws,clientelism_index,gdp_per_capita,judiciary_index,country
1990,0.005850663131997595,0.00044364841439173934,0.0038174727947372484,15798,0.867,3.915,0.027,25391.0,0.952,Germany
1991,-0.002531775557312576,-0.026755498396784753,-0.043671347163170074,21072,0.867,3.915,0.028,26769.96,0.952,Germany
1992,0.009777439865185686,0.033260225821162996,-0.017502349572681684,19623,0.867,3.915,0.028,27385.055,0.952,Germany
1993,-0.006666132811865897,0.02657535412139259,0.015044089696189695,22532,0.867,3.915,0.028,27250.701,0.952,Germany
1994,-0.09072937092187172,0.049832779747048715,0.11573110797497024,16769,0.867,3.915,0.028,28140.057,0.952,Germany
1995,-0.033411885288798335,0.05031258467218469,0.07439971164023547,22538,0.868,3.915,0.028,28868.945,0.952,Germany
1996,-0.09336927749884856,0.07004689080517834,0.1464222907138673,22478,0.868,3.915,0.028,29349.982,0.952,Germany
1997,-0.06815536309453273,0.11899028688299385,0.1589020798825359,19946,0.868,3.915,0.028,30186.945,0.952,Germany
1998,-0.13625776156042047,0.03531991785106137,0.17641103344003975,14825,0.867,3.915,0.027,31129.584,0.952,Germany
1999,-0.09756199316547873,0.051187846271742644,0.1470539846822868,22340,0.867,3.915,0.026,32087.604,0.952,Germany
2000,-0.0058572917276273695,-0.04961000079896112,-0.018599034806830995,22239,0.867,3.915,0.026,33367.285,0.952,Germany
2001,-0.032030069412284784,-0.0234750079068952,0.025269569161453717,21588,0.867,3.915,0.026,34260.29,0.952,Germany
2002,-0.13256966063446154,-0.0507837817466899,0.12986886450023316,18021,0.868,3.915,0.026,34590.93,0.952,Germany
2003,-0.007048485489092899,0.019838232454654988,0.035728377844542386,20099,0.868,3.915,0.026,34716.44,0.952,Germany
2004,0.06745700032651611,0.06409902438799471,-0.002031927986685536,21271,0.868,3.915,0.026,35528.715,0.952,Germany
2005,0.02469599908075278,0.07747709067457346,0.05516350641588942,12653,0.868,3.915,0.026,36205.574,0.952,Germany
2006,0.11693671517425024,0.10256914943033957,-0.051457236624150506,22767,0.877,3.915,0.028,38014.137,0.952,Germany
2007,0.09744735753040559,0.05901033370650829,-0.046382388367879016,20599,0.877,3.915,0.028,39752.207,0.952,Germany
2008,0.09174171763890462,0.05223545175080124,-0.07819725914626063,23608,0.877,3.915,0.028,40715.434,0.952,Germany
2009,0.058672004865191904,0.08492533142310081,-0.06361806012457527,19684,0.872,3.915,0.028,38962.938,0.952,Germany
2010,0.01911519236518816,0.0626176362795957,0.04349205311627633,27277,0.869,3.915,0.028,41109.582,0.952,Germany
2011,0.10809463724692261,0.05921643012613822,-0.06825458969760385,28855,0.874,3.915,0.028,43189.0,0.952,Germany
2012,0.09947706278059319,0.08238514536619443,-0.05923457066083774,28713,0.873,3.915,0.028,43288.32,0.952,Germany
2013,0.12371367394854846,0.1352627954652426,-0.04607987962909885,21726,0.864,3.886,0.029,43359.137,0.952,Germany
2014,0.137938427028878,0.059879544926617546,-0.11863845610004183,25479,0.855,3.886,0.032,44132.758,0.952,Germany
2015,0.10746897070234367,-0.08511472558780747,-0.19033564165984537,23856,0.853,3.886,0.049,44405.168,0.952,Germany
2016,0.012142601856498536,-0.30511805122189256,-0.23061566561088306,21328,0.857,3.886,0.049,45030.47,0.952,Germany
2017,-0.006956416476457624,-0.3105263576877808,-0.21058565404763435,13502,0.856,3.886,0.05,46065.1,0.919,Germany
2018,-0.10376798989675738,-0.0967254041087925,0.07158693786496698,25527,0.843,3.886,0.052,46377.39,0.919,Germany
2019,-0.10200385949551827,-0.11311135053252376,0.0771846006681849,26143,0.845,3.886,0.052,46761.945,0.919,Germany
2020,-0.16038849895963472,-0.18876563805966853,0.01946290246483974,26617,0.835,3.886,0.052,44996.43,0.919,Germany
2021,-0.20518781450165405,-0.17414461543691315,0.061543444363451556,11585,0.826,3.886,0.053,46159.05,0.919,Germany
