year,evidence_intuition_diffpool_score_mean,evidence_mean,intuition_mean,count,ddi,transparent_laws,clientelism_index,gdp_per_capita,judiciary_index,country
1949,-0.48905095962600753,-0.2276434216751215,0.436966122784786,2487,0.718,3.717,0.043,5231.0,0.946,West Germany
1950,-0.2649996589582547,0.0228198155160372,0.33306423591013234,10875,0.733,3.578,0.032,6186.0,0.953,West Germany
1951,-0.2664367251545414,0.07103677741107045,0.3603015324539709,11362,0.733,3.726,0.032,6704.0,0.953,West Germany
1952,-0.2150924853393319,0.030376940219407858,0.32709511842151057,10487,0.716,3.726,0.032,7257.0,0.953,West Germany
1953,-0.23335900195162937,0.08034060881173317,0.29183680380043375,7451,0.732,3.726,0.03,7818.0,0.953,West Germany
1954,-0.10115766442691897,0.060265619519757736,0.17846894396418664,10372,0.748,3.726,0.027,8364.0,0.953,West Germany
1955,-0.07801531609325987,0.0707941759578873,0.16643326344911433,10408,0.748,3.726,0.027,9240.0,0.953,West Germany
1956,-0.07983568244276089,0.11268004385234885,0.17812563365532597,11729,0.742,3.726,0.027,9846.0,0.953,West Germany
1957,-0.04206095156580243,0.15902337911057146,0.1847797155139954,10305,0.75,3.726,0.027,10348.0,0.953,West Germany
1958,-0.015235253857447027,0.0620541840552715,0.14775618257624362,11251,0.746,3.726,0.026,10739.0,0.953,West Germany
1959,0.06085112897002018,0.18243500581454503,0.07059146443844953,8722,0.753,3.726,0.026,11440.0,0.953,West Germany
1960,0.00721296665860004,0.12116368158904776,0.05587310063963769,10691,0.767,3.726,0.026,12282.0,0.953,West Germany
1961,0.010597751911874752,0.11577682722293309,0.02599699324028987,8350,0.77,3.726,0.025,12675.0,0.953,West Germany
1962,0.22101886116737315,0.12203365473020616,-0.1801128149410488,9310,0.777,3.726,0.022,13106.0,0.952,West Germany
1963,0.20765093984754374,0.14408742382601433,-0.20118010625763016,10109,0.783,3.726,0.022,13367.0,0.952,West Germany
1964,0.24078469596722438,0.12511300338483733,-0.24686008747193203,12263,0.783,3.726,0.022,14062.0,0.952,West Germany
1965,0.1673217406566335,0.10641867720907293,-0.1775511140870691,11963,0.786,3.726,0.023,14642.0,0.952,West Germany
1966,0.3081284539251302,0.09087799972429467,-0.297873675622135,14286,0.785,3.726,0.024,14964.0,0.952,West Germany
1967,0.2579349153715129,0.10797228737778035,-0.2426326498395469,13955,0.785,3.726,0.024,14979.0,0.952,West Germany
1968,0.10576340866336263,0.0777146022196329,-0.09319595171519189,14313,0.799,3.844,0.024,15723.0,0.952,West Germany
1969,0.12460353677175164,0.11652750297152416,-0.11684283709899089,13201,0.809,3.844,0.021,16641.0,0.952,West Germany
1970,0.13071577453222386,0.12884183595263513,-0.07125325716939011,14534,0.824,3.844,0.023,17277.0,0.952,West Germany
1971,0.10694153646180536,0.11016269833161119,-0.07717072376803731,15447,0.824,3.844,0.023,17657.0,0.952,West Germany
1972,0.03057003824496145,0.05935773996338217,-0.08378728303875313,8379,0.823,3.844,0.023,18301.0,0.952,West Germany
1973,0.01589154264993515,0.01575959962541424,-0.07911956759268021,14629,0.821,3.844,0.022,19074.0,0.952,West Germany
1974,-0.009934720161894402,0.03176675924076097,-0.014429239716398756,16979,0.821,3.844,0.022,19228.0,0.952,West Germany
1975,0.0039594646675572675,0.029191470060691182,-0.08598409275255911,15053,0.821,3.844,0.021,19193.0,0.952,West Germany
1976,-0.0282800622092298,-0.0012002078372905323,-0.0059294095013691294,13557,0.821,3.844,0.021,20218.0,0.952,West Germany
1977,-0.055928748187256544,-0.05780411949392627,-0.007850206768885131,14590,0.82,3.844,0.021,20837.0,0.952,West Germany
1978,0.03220982287691483,-0.034156127342976954,-0.08236502392513878,15187,0.824,3.844,0.021,21447.0,0.952,West Germany
1979,0.020259765648712517,-0.012336361939126643,-0.007820617622646863,17427,0.827,3.844,0.021,22305.0,0.952,West Germany
1980,0.01647508209132323,-0.07810305538789251,-0.0683617318133521,10908,0.831,3.844,0.021,22497.0,0.952,West Germany
1981,0.06541685173932484,-0.04966555939312322,-0.06658693329670183,14296,0.831,3.844,0.022,22553.0,0.952,West Germany
1982,-0.06143726973222335,-0.10140791117811576,0.007949233836406187,16713,0.829,3.844,0.022,22380.0,0.952,West Germany
1983,-0.1315168917824027,-0.1989305495347465,0.06429005990866372,12066,0.828,3.844,0.023,22840.0,0.952,West Germany
1984,-0.10152103941789162,-0.18178914808775373,0.023232766005940295,18422,0.828,3.844,0.023,23564.0,0.952,West Germany
1985,-0.07415699889891479,-0.15735549519407324,0.013324584526294115,20362,0.828,3.844,0.023,24133.0,0.952,West Germany
1986,-0.12833005368149458,-0.1777410395097279,0.057125283460053036,18887,0.828,3.844,0.023,24657.0,0.952,West Germany
1987,-0.1039819226337327,-0.19572276197826105,0.071218086681625,13404,0.829,3.844,0.027,25027.0,0.952,West Germany
1988,-0.03792827846548229,-0.1430790927098851,0.0005524080082975097,19173,0.829,3.844,0.027,25759.0,0.952,West Germany
1989,-0.026846528996770105,-0.17525284136181446,-0.019949836690561305,22194,0.829,3.844,0.027,26393.0,0.952,West Germany
