Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1900,0.201,0.026,0.294,0.255,0.216,0.297,0.945,0.918,0.988,2.967,2.649,3.215
1901,0.195,0.033,0.292,0.255,0.216,0.297,0.945,0.918,0.988,2.967,2.649,3.215
1902,0.195,0.026,0.284,0.256,0.217,0.299,0.945,0.918,0.988,2.967,2.649,3.215
1903,0.195,0.021,0.278,0.257,0.218,0.3,0.945,0.918,0.988,2.967,2.649,3.215
1904,0.195,0.021,0.278,0.346,0.297,0.403,0.945,0.918,0.988,2.967,2.649,3.215
1905,0.195,0.021,0.278,0.372,0.319,0.432,0.945,0.918,0.988,3.053,2.706,3.301
1906,0.195,0.021,0.278,0.372,0.319,0.432,0.945,0.918,0.988,3.053,2.706,3.301
1907,0.195,0.021,0.278,0.372,0.319,0.432,0.945,0.918,0.988,3.053,2.706,3.301
1908,0.196,0.021,0.28,0.371,0.319,0.432,0.945,0.918,0.988,3.053,2.706,3.301
1909,0.198,0.021,0.285,0.368,0.32,0.433,0.945,0.918,0.988,3.053,2.706,3.301
1910,0.198,0.021,0.285,0.368,0.32,0.433,0.945,0.918,0.988,3.053,2.706,3.301
1911,0.199,0.022,0.288,0.368,0.319,0.431,0.945,0.918,0.988,3.053,2.706,3.301
1912,0.203,0.028,0.299,0.37,0.311,0.423,0.945,0.918,0.988,3.053,2.706,3.301
1913,0.203,0.028,0.299,0.37,0.311,0.423,0.945,0.918,0.988,3.053,2.706,3.301
1914,0.21,0.025,0.301,0.37,0.318,0.43,0.945,0.918,0.988,3.053,2.706,3.301
1915,0.212,0.024,0.301,0.37,0.321,0.433,0.945,0.918,0.988,3.053,2.706,3.301
1916,0.193,0.027,0.286,0.522,0.451,0.611,0.945,0.918,0.988,3.053,2.706,3.301
1917,0.195,0.038,0.287,0.52,0.449,0.607,0.945,0.918,0.988,3.053,2.706,3.301
1918,0.195,0.038,0.287,0.52,0.449,0.607,0.945,0.918,0.988,3.053,2.706,3.301
1919,0.194,0.035,0.286,0.52,0.449,0.606,0.945,0.918,0.988,3.053,2.706,3.301
1920,0.19,0.018,0.279,0.536,0.453,0.61,0.945,0.918,0.988,3.053,2.706,3.301
1921,0.19,0.018,0.279,0.546,0.477,0.623,0.945,0.918,0.988,3.053,2.706,3.301
1922,0.19,0.018,0.279,0.546,0.477,0.623,0.945,0.918,0.988,3.053,2.706,3.301
1923,0.19,0.019,0.278,0.546,0.475,0.622,0.945,0.918,0.988,3.053,2.706,3.301
1924,0.189,0.025,0.273,0.546,0.467,0.618,0.945,0.918,0.988,3.053,2.706,3.301
1925,0.189,0.025,0.273,0.546,0.467,0.618,0.945,0.918,0.988,3.053,2.706,3.301
1926,0.189,0.025,0.273,0.546,0.467,0.618,0.945,0.918,0.988,3.053,2.706,3.301
1927,0.217,0.038,0.316,0.548,0.47,0.62,0.945,0.918,0.988,3.053,2.706,3.301
1928,0.221,0.047,0.33,0.55,0.474,0.621,0.945,0.918,0.988,3.053,2.706,3.301
1929,0.221,0.047,0.33,0.55,0.474,0.621,0.945,0.918,0.988,3.053,2.706,3.301
1930,0.205,0.052,0.31,0.547,0.469,0.619,0.945,0.918,0.988,2.952,2.632,3.189
1931,0.207,0.041,0.308,0.542,0.467,0.626,0.945,0.918,0.988,2.952,2.632,3.189
1932,0.208,0.033,0.306,0.542,0.463,0.624,0.945,0.918,0.988,2.952,2.632,3.189
1933,0.208,0.036,0.308,0.542,0.468,0.627,0.945,0.918,0.988,2.952,2.632,3.189
1934,0.207,0.038,0.309,0.543,0.474,0.631,0.945,0.918,0.988,2.952,2.632,3.189
1935,0.207,0.038,0.309,0.558,0.474,0.636,0.945,0.918,0.988,2.952,2.632,3.189
1936,0.207,0.038,0.309,0.558,0.474,0.636,0.945,0.918,0.988,2.952,2.632,3.189
1937,0.204,0.032,0.3,0.556,0.48,0.642,0.945,0.918,0.988,2.952,2.632,3.189
1938,0.2,0.027,0.29,0.555,0.485,0.648,0.945,0.918,0.988,2.952,2.632,3.189
1939,0.2,0.027,0.29,0.555,0.485,0.648,0.945,0.918,0.988,2.952,2.632,3.189
1940,0.2,0.027,0.29,0.568,0.493,0.655,0.945,0.918,0.988,2.952,2.632,3.189
1941,0.2,0.027,0.29,0.568,0.493,0.655,0.945,0.918,0.988,2.952,2.632,3.189
1942,0.202,0.036,0.299,0.57,0.492,0.65,0.945,0.918,0.988,2.952,2.632,3.189
1943,0.203,0.045,0.308,0.571,0.492,0.644,0.945,0.918,0.988,2.952,2.632,3.189
1944,0.203,0.045,0.308,0.623,0.549,0.696,0.945,0.918,0.988,3.059,2.714,3.317
1945,0.203,0.045,0.308,0.623,0.559,0.704,0.945,0.918,0.988,3.171,2.833,3.46
1946,0.204,0.041,0.304,0.628,0.56,0.705,0.945,0.918,0.988,3.049,2.769,3.34
1947,0.204,0.037,0.3,0.626,0.548,0.693,0.945,0.918,0.988,3.049,2.769,3.34
1948,0.204,0.037,0.3,0.626,0.548,0.693,0.945,0.918,0.988,3.049,2.769,3.34
1949,0.205,0.034,0.3,0.627,0.55,0.695,0.945,0.918,0.988,3.049,2.769,3.34
1950,0.211,0.024,0.299,0.649,0.587,0.723,0.945,0.918,0.988,3.049,2.769,3.34
1951,0.211,0.024,0.299,0.649,0.587,0.723,0.945,0.918,0.988,3.049,2.769,3.34
1952,0.213,0.033,0.311,0.65,0.585,0.723,0.945,0.918,0.988,3.049,2.769,3.34
1953,0.215,0.043,0.323,0.653,0.589,0.727,0.945,0.918,0.988,3.049,2.769,3.34
1954,0.215,0.043,0.323,0.655,0.594,0.732,0.945,0.918,0.988,3.049,2.769,3.34
1955,0.215,0.043,0.323,0.655,0.594,0.732,0.945,0.918,0.988,3.049,2.769,3.34
1956,0.213,0.041,0.317,0.653,0.591,0.729,0.945,0.918,0.988,3.049,2.769,3.34
1957,0.212,0.039,0.312,0.652,0.587,0.725,0.945,0.918,0.988,3.049,2.769,3.34
1958,0.212,0.039,0.312,0.652,0.587,0.725,0.945,0.918,0.988,3.049,2.769,3.34
1959,0.188,0.026,0.279,0.653,0.59,0.729,0.945,0.918,0.988,3.049,2.769,3.34
1960,0.185,0.026,0.269,0.654,0.593,0.731,0.945,0.918,0.988,3.049,2.769,3.34
1961,0.185,0.026,0.269,0.654,0.593,0.731,0.945,0.918,0.988,3.16,2.844,3.459
1962,0.185,0.026,0.269,0.654,0.593,0.731,0.945,0.918,0.988,3.16,2.844,3.459
1963,0.178,0.021,0.265,0.655,0.591,0.73,0.945,0.918,0.988,3.16,2.844,3.459
1964,0.172,0.018,0.262,0.655,0.59,0.728,0.945,0.918,0.988,3.16,2.844,3.459
1965,0.172,0.018,0.262,0.655,0.59,0.728,0.945,0.918,0.988,3.16,2.844,3.459
1966,0.172,0.018,0.262,0.666,0.604,0.741,0.945,0.918,0.988,3.16,2.844,3.459
1967,0.176,0.022,0.269,0.669,0.609,0.749,0.945,0.918,0.988,3.16,2.844,3.459
1968,0.175,0.022,0.268,0.645,0.572,0.718,0.945,0.918,0.988,3.16,2.844,3.459
1969,0.171,0.02,0.261,0.642,0.573,0.719,0.945,0.918,0.988,3.16,2.844,3.459
1970,0.171,0.02,0.261,0.645,0.582,0.73,0.945,0.918,0.988,3.16,2.844,3.459
1971,0.171,0.021,0.259,0.647,0.577,0.723,0.945,0.918,0.988,3.16,2.844,3.459
1972,0.171,0.021,0.257,0.648,0.572,0.718,0.945,0.918,0.988,3.16,2.844,3.459
1973,0.171,0.021,0.257,0.648,0.572,0.718,0.945,0.918,0.988,3.16,2.844,3.459
1974,0.171,0.021,0.258,0.65,0.579,0.726,0.945,0.918,0.988,3.16,2.844,3.459
1975,0.172,0.022,0.259,0.652,0.585,0.734,0.945,0.918,0.988,3.16,2.844,3.459
1976,0.172,0.022,0.259,0.652,0.585,0.734,0.945,0.918,0.988,3.16,2.844,3.459
1977,0.172,0.022,0.259,0.652,0.585,0.734,0.945,0.918,0.988,3.16,2.844,3.459
1978,0.168,0.024,0.254,0.651,0.578,0.726,0.945,0.918,0.988,3.16,2.844,3.459
1979,0.166,0.025,0.25,0.65,0.573,0.719,0.945,0.918,0.988,3.16,2.844,3.459
1980,0.151,0.015,0.226,0.665,0.589,0.733,0.945,0.918,0.988,3.16,2.844,3.459
1981,0.151,0.015,0.226,0.665,0.589,0.733,0.945,0.918,0.988,3.16,2.844,3.459
1982,0.151,0.015,0.226,0.672,0.614,0.76,0.945,0.918,0.988,3.16,2.844,3.459
1983,0.155,0.015,0.232,0.689,0.631,0.771,0.945,0.918,0.988,3.16,2.844,3.459
1984,0.157,0.016,0.235,0.689,0.633,0.775,0.945,0.918,0.988,3.16,2.844,3.459
1985,0.157,0.016,0.235,0.689,0.633,0.775,0.945,0.918,0.988,3.16,2.844,3.459
1986,0.157,0.016,0.235,0.697,0.627,0.767,0.945,0.918,0.988,3.16,2.844,3.459
1987,0.139,0.009,0.209,0.702,0.641,0.783,0.945,0.918,0.988,3.16,2.844,3.459
1988,0.139,0.013,0.211,0.704,0.643,0.784,0.945,0.918,0.988,3.16,2.844,3.459
1989,0.124,0.008,0.192,0.706,0.64,0.781,0.945,0.918,0.988,3.16,2.844,3.459
1990,0.119,0.011,0.185,0.747,0.686,0.814,0.945,0.918,0.988,3.16,2.844,3.459
1991,0.121,0.006,0.183,0.733,0.68,0.809,0.945,0.918,0.988,3.16,2.844,3.459
1992,0.122,0.004,0.182,0.734,0.672,0.806,0.945,0.918,0.988,3.16,2.844,3.459
1993,0.122,0.004,0.182,0.734,0.672,0.806,0.945,0.918,0.988,3.16,2.844,3.459
1994,0.122,0.004,0.182,0.734,0.672,0.806,0.945,0.918,0.988,3.16,2.844,3.459
1995,0.115,0.005,0.178,0.733,0.666,0.801,0.945,0.918,0.988,3.525,3.324,3.762
1996,0.114,0.009,0.178,0.738,0.68,0.815,0.945,0.918,0.988,3.525,3.324,3.762
1997,0.114,0.013,0.18,0.737,0.682,0.815,0.945,0.918,0.988,3.525,3.324,3.762
1998,0.114,0.013,0.18,0.737,0.682,0.815,0.945,0.918,0.988,3.525,3.324,3.762
1999,0.112,0.008,0.171,0.74,0.679,0.811,0.945,0.918,0.988,3.525,3.324,3.762
2000,0.089,0.003,0.136,0.741,0.678,0.809,0.945,0.918,0.988,3.525,3.324,3.762
2001,0.089,0.003,0.136,0.741,0.678,0.809,0.945,0.918,0.988,3.525,3.324,3.762
2002,0.089,0.003,0.136,0.741,0.678,0.809,0.945,0.918,0.988,3.525,3.324,3.762
2003,0.067,0.001,0.11,0.74,0.677,0.808,0.945,0.918,0.988,3.525,3.324,3.762
2004,0.067,0.001,0.108,0.74,0.68,0.811,0.945,0.918,0.988,3.525,3.324,3.762
2005,0.065,0.001,0.105,0.738,0.682,0.809,0.945,0.918,0.988,3.525,3.324,3.762
2006,0.065,0.001,0.105,0.73,0.667,0.794,0.945,0.918,0.988,3.525,3.324,3.762
2007,0.062,0.001,0.1,0.737,0.68,0.812,0.945,0.918,0.988,3.525,3.324,3.762
2008,0.057,0.001,0.096,0.75,0.689,0.815,0.945,0.918,0.988,3.525,3.324,3.762
2009,0.057,0.001,0.093,0.77,0.714,0.834,0.945,0.918,0.988,3.525,3.324,3.762
