year,evidence_intuition_diffpool_score_mean,evidence_mean,intuition_mean,count,ddi,transparent_laws,clientelism_index,gdp_per_capita,judiciary_index,country
1946,-0.29814845608271756,-0.05084417453974454,0.3685841952099342,10729,0.628,3.049,0.204,8490.288,0.945,Iceland
1947,-0.28982035084263685,-0.10665607541100904,0.31249630833635644,14712,0.626,3.049,0.204,9230.586,0.945,Iceland
1948,-0.13593141957094274,-0.04596065139557836,0.18640220693248413,10089,0.626,3.049,0.204,9215.163,0.945,Iceland
1949,-0.18684169208615065,-0.030815665141967725,0.2638694833700539,12427,0.627,3.049,0.205,8868.148,0.945,Iceland
1950,-0.20645707984376707,0.009165753978050376,0.3070312812995997,12353,0.649,3.049,0.211,8498.0,0.945,Iceland
1951,-0.20767088068090217,-0.05994481152330275,0.23374198669885685,11710,0.649,3.049,0.211,8080.0,0.945,Iceland
1952,-0.1595451644563705,0.015778270256496092,0.24245002999226542,8562,0.65,3.049,0.213,8823.0,0.945,Iceland
1953,-0.2289975374481423,-0.03785808251660591,0.26233631003115926,9735,0.653,3.049,0.215,8886.0,0.945,Iceland
1954,-0.20647506166346274,-0.07309276696519759,0.18464480135301334,10990,0.655,3.049,0.215,9446.0,0.945,Iceland
1955,-0.1837127995568933,-0.04945600840561641,0.1758998810822284,12548,0.655,3.049,0.215,10096.0,0.945,Iceland
1956,-0.22654844957856748,-0.11302218179904609,0.15725351379167765,11432,0.653,3.049,0.213,10323.0,0.945,Iceland
1957,-0.21868288588908855,-0.08614096103666337,0.13785490405284517,14218,0.652,3.049,0.212,10079.0,0.945,Iceland
1958,-0.17856885279889106,-0.08727440599354076,0.06392744187930897,9792,0.652,3.049,0.212,10568.0,0.945,Iceland
1959,-0.2836295910606673,-0.13249218960896775,0.23612657514912214,13718,0.653,3.049,0.188,10702.0,0.945,Iceland
1960,-0.18673560521720003,-0.09058159597127056,0.13327426828454902,21275,0.654,3.049,0.185,10959.0,0.945,Iceland
1961,-0.15486622821664106,-0.07208674967965747,0.11306930136354099,15094,0.654,3.16,0.185,10728.0,0.945,Iceland
1962,-0.01998468439560954,-0.029572635849240705,-0.00865516766452239,14488,0.654,3.16,0.185,11435.0,0.945,Iceland
1963,-0.07344250581115683,-0.052131106193266205,0.020723044950932794,14119,0.655,3.16,0.178,12366.0,0.945,Iceland
1964,-0.028408561240391886,-0.03272702103024681,0.028259112560719446,14517,0.655,3.16,0.172,13386.0,0.945,Iceland
1965,0.0015245191388048422,-0.010212191296286487,0.016505462086089023,13240,0.655,3.16,0.172,14100.0,0.945,Iceland
1966,-0.05322033436966877,-0.044370591190360825,0.039065165543839625,14648,0.666,3.16,0.172,15058.0,0.945,Iceland
1967,-0.03145112578259208,-0.017321106200109793,0.053378486808697403,11251,0.669,3.16,0.176,14642.0,0.945,Iceland
1968,-0.02141476271897616,-0.053737437464664826,0.011002319536557963,14834,0.645,3.16,0.175,13648.0,0.945,Iceland
1969,0.03409289151178184,-0.001936063294490607,0.004667896095122698,13498,0.642,3.16,0.171,13880.0,0.945,Iceland
1970,0.05572394623416915,0.035369770335217154,-0.028950740568620115,13986,0.645,3.16,0.171,14830.0,0.945,Iceland
1971,-0.04301983505708691,0.0024994766287944168,0.07222837829783246,15137,0.647,3.16,0.171,16606.0,0.945,Iceland
