Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1900,0.58,0.387,0.783,0.219,0.18,0.258,0.614,0.504,0.756,2.631,2.416,2.782
1901,0.568,0.39,0.778,0.216,0.173,0.252,0.614,0.504,0.756,2.631,2.416,2.782
1902,0.568,0.39,0.778,0.217,0.178,0.256,0.614,0.504,0.756,2.631,2.416,2.782
1903,0.568,0.39,0.778,0.217,0.178,0.256,0.614,0.504,0.756,2.631,2.416,2.782
1904,0.567,0.39,0.777,0.216,0.174,0.253,0.614,0.504,0.756,2.631,2.416,2.782
1905,0.564,0.392,0.772,0.223,0.18,0.26,0.614,0.504,0.756,2.631,2.416,2.782
1906,0.564,0.392,0.772,0.223,0.18,0.259,0.614,0.504,0.756,2.631,2.416,2.782
1907,0.564,0.392,0.772,0.223,0.18,0.259,0.614,0.504,0.756,2.631,2.416,2.782
1908,0.564,0.392,0.772,0.223,0.18,0.259,0.614,0.504,0.756,2.631,2.416,2.782
1909,0.569,0.4,0.777,0.222,0.188,0.266,0.614,0.504,0.756,2.631,2.416,2.782
1910,0.57,0.401,0.778,0.227,0.188,0.263,0.614,0.504,0.756,2.631,2.416,2.782
1911,0.57,0.401,0.778,0.225,0.187,0.264,0.614,0.504,0.756,2.631,2.416,2.782
1912,0.544,0.374,0.757,0.226,0.188,0.266,0.614,0.504,0.756,2.631,2.416,2.782
1913,0.534,0.373,0.741,0.253,0.211,0.298,0.614,0.504,0.756,2.631,2.416,2.782
1914,0.541,0.391,0.765,0.242,0.197,0.282,0.614,0.504,0.756,2.631,2.416,2.782
1915,0.565,0.414,0.782,0.216,0.174,0.258,0.582,0.472,0.728,2.631,2.416,2.782
