year,evidence_intuition_diffpool_score_mean,evidence_mean,intuition_mean,count,ddi,transparent_laws,clientelism_index,gdp_per_capita,judiciary_index,country
1946,-0.3579012768594671,-0.036777680569873045,0.43579919442675574,5321,0.301,2.855,0.525,3805.0,0.629,Italy
1947,-0.4022590686835991,0.06154396188168251,0.45633161236859027,24054,0.499,3.15,0.362,4498.0,0.65,Italy
1948,-0.20356994314320226,-0.1301220740998596,0.1557320488127122,26460,0.508,3.15,0.376,4814.0,0.683,Italy
1949,-0.2114237001985072,-0.12504224549767565,0.18875096424009827,38151,0.564,3.15,0.399,5188.0,0.683,Italy
1950,-0.16345788597186628,-0.017921189701057882,0.20404731452604036,42878,0.564,3.15,0.399,5582.0,0.683,Italy
1951,-0.1420383386765933,-0.10492877688555717,0.11437656384176606,41567,0.564,3.15,0.399,5958.0,0.683,Italy
1952,-0.13495607581188312,-0.09039198819388498,0.09132378164158672,40099,0.564,3.15,0.399,6371.0,0.683,Italy
1953,-0.2592929113038856,-0.0716968844293484,0.24169777877290935,21999,0.571,3.15,0.352,6790.0,0.683,Italy
1954,-0.007692073964907729,-0.13231864095856538,-0.04161385990353295,23071,0.609,3.15,0.348,7092.0,0.683,Italy
1955,-0.01576978677071583,-0.01707671737274783,0.01793623477812349,19320,0.609,3.15,0.348,7453.0,0.683,Italy
1956,0.051147380316242254,-0.06792872349685591,-0.05303456642507357,20148,0.625,3.15,0.348,7745.0,0.781,Italy
1957,0.03792242640375765,-0.07510264863688253,-0.046925453971036146,25615,0.625,3.15,0.348,8158.0,0.781,Italy
1958,0.07569725030001342,-0.08929190009789956,-0.12919979978661555,19232,0.63,3.15,0.345,8544.0,0.781,Italy
1959,0.12269455477555478,0.03992824945222371,-0.11257901695854065,22418,0.632,3.15,0.343,9011.0,0.781,Italy
1960,0.10738434319962403,0.0029610342967546395,-0.10206196999318322,17577,0.645,3.15,0.358,9430.0,0.795,Italy
1961,0.11062658807467989,-0.017271619231532486,-0.10366985266779935,30132,0.646,3.15,0.358,10158.0,0.795,Italy
1962,0.0001643172962390457,-0.03255605571515552,0.00555415886082264,30757,0.646,3.15,0.358,10882.0,0.795,Italy
1963,0.18072288125407537,0.006276678976271573,-0.16942253646881775,19482,0.643,3.15,0.337,11576.0,0.795,Italy
1964,0.0393446571237852,0.022439073939004833,-0.04381039836254173,29684,0.643,3.15,0.327,11934.0,0.795,Italy
1965,0.13557472589796776,0.06490449276611214,-0.1339388794063736,23260,0.643,3.15,0.327,12111.0,0.795,Italy
1966,0.1649853344980365,0.10977202144896042,-0.11284391580657471,16059,0.65,3.15,0.327,12659.0,0.795,Italy
1967,0.12432268181604736,0.09304676354666451,-0.06349623349342953,19160,0.65,3.15,0.327,13476.0,0.795,Italy
1968,0.07091887201681195,0.056807465984719974,-0.034000024617929475,12598,0.653,3.15,0.332,14513.0,0.804,Italy
1969,0.07242739807719135,0.04535798020451867,-0.007890619053641738,15666,0.662,3.15,0.335,15248.0,0.804,Italy
1970,-0.10934305347885818,0.09018183211151068,0.186178762355581,13304,0.681,3.15,0.307,15492.0,0.823,Italy
1971,0.14357700021691977,0.14093147907072245,-0.015678337375169195,15237,0.68,3.15,0.307,15683.0,0.823,Italy
1972,0.09506950819729718,0.04985807908322509,-0.0671039379278345,6834,0.682,3.15,0.292,16035.0,0.823,Italy
1973,0.1295130127839687,0.052816389821751845,-0.06405162192989321,12196,0.677,3.071,0.284,16950.0,0.823,Italy
1974,0.02683601420364326,0.1323132606987536,0.05607928865186265,8677,0.677,3.071,0.284,17607.0,0.823,Italy
1975,0.07457002096733294,0.08896889887641883,-0.008642545056053627,10485,0.684,3.071,0.284,17123.0,0.837,Italy
1976,0.05703153845699249,0.013976959572251311,-0.045282757486100715,7398,0.694,3.071,0.28,18147.0,0.837,Italy
1977,0.10181375894748985,0.08365669897798875,-0.0355423599488389,8723,0.701,3.071,0.278,18599.0,0.837,Italy
1978,0.029970651712355488,0.15864312646695555,0.1208527159090438,8560,0.701,3.071,0.278,19230.0,0.837,Italy
1979,0.2395932142397391,-0.00933862220922648,-0.23209512532368579,9760,0.702,3.071,0.275,20275.0,0.837,Italy
1980,0.1289014047851501,0.12561147369227074,-0.047974218289963094,13069,0.73,3.166,0.274,20959.0,0.837,Italy
1981,0.1093384790341388,0.07333394272353909,-0.07988547605342168,11857,0.74,3.166,0.274,21041.0,0.837,Italy
1982,-0.06503995224444022,0.06786662364833283,0.0922326314381039,17454,0.74,3.166,0.274,21123.0,0.837,Italy
1983,0.01422067135196989,0.05380674609256457,0.010131034902100357,10987,0.743,3.166,0.275,21345.0,0.837,Italy
1984,-0.10832317542843888,0.1561139626408753,0.1782017040252057,13645,0.758,3.166,0.277,21868.0,0.837,Italy
1985,0.05557650890975495,0.19683726763330714,0.019995952287520668,10557,0.762,3.166,0.276,22469.0,0.837,Italy
1986,0.13326331145959497,0.08850260018526827,-0.1166647423846018,10317,0.762,3.166,0.276,23106.0,0.837,Italy
1987,0.22371413706778845,0.07395213295498702,-0.21451172164491464,7420,0.76,3.166,0.269,23824.0,0.837,Italy
1988,0.184695184101577,0.2000977762571695,-0.09030182783400942,11377,0.759,3.166,0.263,24743.0,0.837,Italy
1989,0.15856611961639358,0.11969145973975388,-0.1196777051896531,12459,0.759,3.166,0.263,25454.0,0.837,Italy
1990,0.0609959786447947,0.008345665606295934,-0.1158340866842733,12923,0.759,3.166,0.219,26003.0,0.856,Italy
1991,-0.07953292573692787,0.10955557904097497,0.12258971999245932,11826,0.764,3.166,0.219,26570.363,0.856,Italy
1992,-0.07801170129870433,0.09499501520437467,0.11415603976806707,7849,0.778,3.166,0.227,26960.611,0.856,Italy
1993,-0.045631451767979433,0.09668784483692967,0.043194058669949735,11116,0.778,3.166,0.198,26902.398,0.856,Italy
1994,0.06266129237374396,0.1368763080737843,-0.039739240506259384,6321,0.765,3.166,0.222,27668.258,0.841,Italy
1995,-0.04446356611216632,0.10774521735083853,0.061830413187932746,11827,0.75,3.166,0.222,28666.352,0.859,Italy
1996,-0.11620946450753106,0.0912788773628636,0.16887636251438373,9992,0.756,3.166,0.221,29231.275,0.859,Italy
1997,0.003504921004108994,0.09518507634226918,0.04430959948527251,12404,0.783,3.166,0.204,29960.7,0.859,Italy
1998,0.017540754656345185,0.057556453632355474,0.01835964655838829,14570,0.783,3.166,0.204,30649.629,0.859,Italy
1999,-0.05587720278424232,0.030045260311078886,0.0757655236719797,41583,0.783,3.166,0.204,31340.48,0.859,Italy
2000,-0.028974550596515457,-0.0068428055417231615,-0.015591240542822706,61247,0.777,3.166,0.204,32716.98,0.859,Italy
2001,0.03591829396817304,0.07096201508726639,-0.08433466660896337,27156,0.771,3.166,0.201,33511.434,0.846,Italy
2002,0.10146197441242005,0.11630773233218475,-0.15810351670680758,24956,0.76,3.166,0.199,33780.055,0.859,Italy
2003,0.11215919676819071,0.13493996603978042,-0.12582873165743613,24185,0.76,3.166,0.199,33917.8,0.867,Italy
2004,0.05488052196789873,0.14455388006801137,-0.06190136994493166,22032,0.771,3.166,0.199,34472.13,0.867,Italy
2005,-0.01675860634372015,0.08465413658030642,-0.026473181595398892,20042,0.779,3.166,0.199,34872.125,0.867,Italy
2006,-0.0842533427221355,0.08887309835751703,0.07160418940780053,15428,0.791,3.166,0.18,35713.805,0.878,Italy
2007,-0.006230536920291387,0.05307566708334964,-0.05918542124903365,26882,0.807,3.166,0.172,36310.734,0.873,Italy
2008,0.13495817861985634,0.05038896642705233,-0.1801516122940804,15595,0.799,3.166,0.176,35942.938,0.855,Italy
2009,0.1920994659591367,0.13270856804785985,-0.23562498047673427,23932,0.795,3.166,0.177,34055.227,0.867,Italy
2010,0.15839295771800127,0.11769701689578892,-0.16727069195165606,23729,0.796,3.166,0.177,34765.938,0.875,Italy
2011,0.16350420583276,0.12728596500700867,-0.14910458375372856,24355,0.803,3.166,0.175,35151.0,0.875,Italy
2012,0.17384262622323635,0.12577930343812538,-0.18709570959564406,27232,0.816,3.166,0.183,34010.035,0.872,Italy
2013,0.0015091544159322502,-0.07584136714131079,-0.010248071863732245,47395,0.802,3.166,0.183,33317.242,0.87,Italy
2014,-0.07043198036651048,-0.06169520106367477,0.047543853729607795,67968,0.802,3.166,0.182,33310.703,0.87,Italy
2015,-0.11622277836297643,-0.06297363543482147,0.1019682612867881,58346,0.803,3.166,0.182,33620.742,0.87,Italy
2016,-0.00984953414028848,-0.02597101872855589,0.028152029281125233,44456,0.812,3.166,0.182,34120.42,0.87,Italy
2017,0.03722887797493299,-0.026727843802974747,-0.06711365088001045,35010,0.805,3.166,0.182,34754.77,0.88,Italy
