year,score,mean,ci_lower,ci_upper,ddi
1946,ev_pool_z,-0.03669494410093725,-0.06263547562979364,-0.010867389423138361,0.301
1946,rating_emb_pool_z,-0.3579456038957178,-0.3818317631592724,-0.3341420806630547,0.301
1946,int_pool_z,0.4359795362221509,0.41339642704482005,0.45915763787393815,0.301
1947,ev_pool_z,0.06160720325140469,0.04900903316966791,0.07449535131020554,0.499
1947,rating_emb_pool_z,-0.4022673775036792,-0.4134966063563784,-0.39115656621268413,0.499
1947,int_pool_z,0.4563414325453921,0.44497557778424934,0.46792566100194827,0.499
1948,ev_pool_z,-0.13013585059820476,-0.142343000091974,-0.1182564028350663,0.508
1948,rating_emb_pool_z,-0.20365248654925322,-0.2154199990718238,-0.19212405566152,0.508
1948,int_pool_z,0.1556633727724659,0.14404988195526341,0.16776135643163187,0.508
1949,ev_pool_z,-0.12494601311744745,-0.13504338212652917,-0.11474047249849828,0.564
1949,rating_emb_pool_z,-0.21140867179049602,-0.22113547417816826,-0.20166627731585465,0.564
1949,int_pool_z,0.18872019750373628,0.17904236978152746,0.19849341737367618,0.564
1950,ev_pool_z,-0.017842724933974607,-0.027282831976262283,-0.008130977309888994,0.564
1950,rating_emb_pool_z,-0.16342954766631645,-0.1726148772157398,-0.15414262547442528,0.564
1950,int_pool_z,0.20402575288740518,0.19423804221181498,0.21369204231195388,0.564
1951,ev_pool_z,-0.10497139489574216,-0.11482242221664263,-0.0953203312771193,0.564
1951,rating_emb_pool_z,-0.14202916161734114,-0.15156155436193836,-0.1324735336869161,0.564
1951,int_pool_z,0.11436436429864452,0.10472528585537451,0.12388863665217988,0.564
1952,ev_pool_z,-0.09046553209553629,-0.10048867643576624,-0.08039429257105601,0.564
1952,rating_emb_pool_z,-0.13499310556646987,-0.1449655067635847,-0.12497740631605188,0.564
1952,int_pool_z,0.0912893610501423,0.08110472156958788,0.10119562402016812,0.564
1953,ev_pool_z,-0.07164452468800873,-0.084814333463362,-0.05848817650851692,0.571
1953,rating_emb_pool_z,-0.25930644311508866,-0.27304499729702236,-0.24548120708888876,0.571
1953,int_pool_z,0.2418525963488155,0.2282311063648257,0.25567512476405213,0.571
1954,ev_pool_z,-0.13229950554879039,-0.14529892626643298,-0.11939309156243244,0.609
