Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1900,null,null,null,null,null,null,null,null,null,null,null,null
1901,null,null,null,null,null,null,null,null,null,null,null,null
1902,null,null,null,null,null,null,null,null,null,null,null,null
1903,null,null,null,null,null,null,null,null,null,null,null,null
1904,null,null,null,null,null,null,null,null,null,null,null,null
1905,null,null,null,null,null,null,null,null,null,null,null,null
1906,null,null,null,null,null,null,null,null,null,null,null,null
1907,null,null,null,null,null,null,null,null,null,null,null,null
1908,null,null,null,null,null,null,null,null,null,null,null,null
1909,null,null,null,null,null,null,null,null,null,null,null,null
1910,null,null,null,null,null,null,null,null,null,null,null,null
1911,null,null,null,null,null,null,null,null,null,null,null,null
1912,null,null,null,null,null,null,null,null,null,null,null,null
1913,null,null,null,null,null,null,null,null,null,null,null,null
1914,null,null,null,null,null,null,null,null,null,null,null,null
1915,null,null,null,null,null,null,null,null,null,null,null,null
1916,null,null,null,null,null,null,null,null,null,null,null,null
1917,null,null,null,null,null,null,null,null,null,null,null,null
1918,0.241,0.037,0.362,0.192,0.151,0.23,0.903,0.86,0.977,3.114,2.824,3.466
1919,0.169,0.027,0.257,0.293,0.256,0.334,0.903,0.86,0.977,3.292,3.029,3.649
1920,0.201,0.044,0.289,0.446,0.38,0.524,0.903,0.86,0.977,3.292,3.029,3.649
1921,0.201,0.044,0.289,0.456,0.39,0.529,0.903,0.86,0.977,3.292,3.029,3.649
1922,0.201,0.042,0.289,0.46,0.397,0.533,0.903,0.86,0.977,3.292,3.029,3.649
1923,0.203,0.03,0.29,0.46,0.394,0.533,0.903,0.86,0.977,3.292,3.029,3.649
1924,0.203,0.03,0.29,0.46,0.394,0.533,0.903,0.86,0.977,3.292,3.029,3.649
1925,0.203,0.03,0.29,0.46,0.394,0.533,0.903,0.86,0.977,3.292,3.029,3.649
1926,0.203,0.03,0.29,0.294,0.241,0.344,0.781,0.696,0.901,3.292,3.029,3.649
1927,0.189,0.041,0.28,0.197,0.162,0.243,0.749,0.647,0.875,2.823,2.499,3.111
1928,0.287,0.099,0.402,0.186,0.15,0.228,0.686,0.587,0.833,2.823,2.499,3.111
1929,0.307,0.111,0.427,0.177,0.129,0.212,0.686,0.587,0.833,2.823,2.499,3.111
1930,0.362,0.183,0.524,0.156,0.113,0.187,0.711,0.599,0.843,2.823,2.499,3.111
1931,0.39,0.177,0.548,0.151,0.111,0.183,0.711,0.599,0.843,2.823,2.499,3.111
1932,0.39,0.177,0.548,0.151,0.111,0.183,0.711,0.599,0.843,2.823,2.499,3.111
1933,0.39,0.177,0.548,0.151,0.111,0.183,0.711,0.599,0.843,2.823,2.499,3.111
1934,0.39,0.177,0.548,0.151,0.109,0.181,0.711,0.599,0.843,2.823,2.499,3.111
1935,0.363,0.15,0.51,0.15,0.108,0.185,0.698,0.587,0.83,2.823,2.499,3.111
1936,0.306,0.091,0.427,0.157,0.112,0.192,0.698,0.587,0.83,2.823,2.499,3.111
1937,0.306,0.091,0.427,0.159,0.115,0.196,0.698,0.587,0.83,2.823,2.499,3.111
1938,0.304,0.093,0.425,0.157,0.112,0.191,0.698,0.587,0.83,2.823,2.499,3.111
1939,null,null,null,null,null,null,null,null,null,null,null,null
1940,null,null,null,null,null,null,null,null,null,null,null,null
1941,null,null,null,null,null,null,null,null,null,null,null,null
1942,null,null,null,null,null,null,null,null,null,null,null,null
1943,null,null,null,null,null,null,null,null,null,null,null,null
1944,0.629,0.459,0.88,0.028,0.016,0.035,0.513,0.385,0.672,2.02,1.639,2.36
1945,0.629,0.459,0.88,0.028,0.016,0.034,0.513,0.385,0.672,2.02,1.639,2.36
1946,0.629,0.459,0.88,0.028,0.016,0.035,0.49,0.351,0.646,2.02,1.639,2.36
1947,0.536,0.323,0.729,0.031,0.018,0.037,0.49,0.351,0.646,2.02,1.639,2.36
1948,0.533,0.32,0.724,0.024,0.017,0.029,0.49,0.351,0.646,2.137,1.764,2.494
1949,0.533,0.32,0.724,0.023,0.016,0.027,0.49,0.351,0.646,2.137,1.764,2.494
1950,0.54,0.365,0.762,0.023,0.017,0.028,0.49,0.351,0.646,2.137,1.764,2.494
1951,0.54,0.365,0.762,0.023,0.017,0.028,0.49,0.351,0.646,2.137,1.764,2.494
1952,0.526,0.35,0.748,0.023,0.017,0.028,0.49,0.351,0.646,2.137,1.764,2.494
1953,0.462,0.282,0.684,0.022,0.016,0.027,0.49,0.351,0.646,2.137,1.764,2.494
1954,0.462,0.282,0.684,0.022,0.016,0.027,0.49,0.351,0.646,2.137,1.764,2.494
1955,0.462,0.282,0.684,0.022,0.016,0.027,0.49,0.351,0.646,2.137,1.764,2.494
1956,0.462,0.282,0.684,0.054,0.029,0.07,0.509,0.348,0.646,2.137,1.764,2.494
1957,0.441,0.28,0.679,0.055,0.031,0.069,0.542,0.409,0.701,2.424,2.084,2.782
1958,0.44,0.283,0.682,0.047,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1959,0.44,0.283,0.682,0.047,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1960,0.44,0.283,0.682,0.047,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1961,0.471,0.305,0.697,0.045,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1962,0.484,0.313,0.702,0.044,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1963,0.484,0.313,0.702,0.044,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1964,0.484,0.313,0.702,0.044,0.028,0.06,0.542,0.409,0.701,2.424,2.084,2.782
1965,0.482,0.29,0.687,0.041,0.025,0.055,0.542,0.409,0.701,2.424,2.084,2.782
1966,0.481,0.275,0.676,0.042,0.026,0.055,0.542,0.409,0.701,2.424,2.084,2.782
1967,0.481,0.275,0.676,0.042,0.026,0.055,0.542,0.409,0.701,2.424,2.084,2.782
1968,0.481,0.275,0.676,0.042,0.026,0.055,0.542,0.409,0.701,2.424,2.084,2.782
1969,0.483,0.289,0.691,0.042,0.025,0.055,0.542,0.409,0.701,2.424,2.084,2.782
1970,0.484,0.299,0.701,0.041,0.025,0.054,0.542,0.409,0.701,2.424,2.084,2.782
1971,0.484,0.299,0.701,0.056,0.035,0.074,0.542,0.409,0.701,2.424,2.084,2.782
1972,0.48,0.292,0.692,0.044,0.027,0.057,0.542,0.409,0.701,2.424,2.084,2.782
1973,0.478,0.29,0.69,0.044,0.028,0.057,0.542,0.409,0.701,2.424,2.084,2.782
1974,0.478,0.29,0.69,0.044,0.028,0.057,0.542,0.409,0.701,2.424,2.084,2.782
1975,0.478,0.29,0.69,0.044,0.028,0.057,0.542,0.409,0.701,2.424,2.084,2.782
1976,0.47,0.281,0.664,0.044,0.025,0.054,0.542,0.409,0.701,2.424,2.084,2.782
1977,0.468,0.279,0.656,0.044,0.025,0.054,0.542,0.409,0.701,2.424,2.084,2.782
1978,0.468,0.279,0.656,0.044,0.025,0.054,0.565,0.419,0.709,2.424,2.084,2.782
1979,0.468,0.279,0.656,0.044,0.025,0.054,0.565,0.419,0.709,2.424,2.084,2.782
1980,0.475,0.268,0.657,0.077,0.048,0.099,0.565,0.419,0.709,2.424,2.084,2.782
1981,0.477,0.266,0.657,0.071,0.042,0.09,0.532,0.397,0.686,2.424,2.084,2.782
1982,0.477,0.266,0.657,0.034,0.021,0.042,0.58,0.443,0.735,2.424,2.084,2.782
1983,0.477,0.266,0.657,0.036,0.021,0.044,0.58,0.443,0.735,2.424,2.084,2.782
1984,0.477,0.266,0.657,0.049,0.026,0.062,0.563,0.43,0.717,2.424,2.084,2.782
1985,0.479,0.269,0.662,0.049,0.027,0.062,0.563,0.43,0.717,2.424,2.084,2.782
1986,0.484,0.28,0.681,0.058,0.033,0.074,0.563,0.43,0.717,2.424,2.084,2.782
1987,0.484,0.28,0.681,0.057,0.033,0.073,0.633,0.49,0.771,2.424,2.084,2.782
1988,0.484,0.28,0.681,0.071,0.041,0.09,0.633,0.49,0.771,2.424,2.084,2.782
1989,0.323,0.135,0.481,0.265,0.21,0.316,0.904,0.861,0.974,2.84,2.51,3.165
1990,0.255,0.078,0.383,0.622,0.557,0.697,0.96,0.939,0.993,3.121,2.818,3.498
1991,0.22,0.06,0.336,0.744,0.683,0.813,0.96,0.939,0.993,3.121,2.818,3.498
1992,0.188,0.028,0.273,0.764,0.71,0.833,0.96,0.939,0.993,3.121,2.912,3.329
1993,0.186,0.027,0.27,0.764,0.707,0.832,0.96,0.939,0.993,3.121,2.912,3.329
1994,0.181,0.025,0.262,0.768,0.72,0.849,0.96,0.939,0.993,3.121,2.912,3.329
1995,0.18,0.024,0.261,0.767,0.718,0.847,0.96,0.939,0.993,3.121,2.912,3.329
1996,0.172,0.022,0.254,0.759,0.706,0.836,0.96,0.939,0.993,3.121,2.912,3.329
1997,0.172,0.024,0.254,0.741,0.678,0.81,0.96,0.939,0.993,3.121,2.912,3.329
1998,0.173,0.03,0.254,0.744,0.688,0.82,0.96,0.939,0.993,3.121,2.912,3.329
1999,0.173,0.03,0.254,0.744,0.688,0.82,0.96,0.939,0.993,3.121,2.912,3.329
2000,0.16,0.025,0.237,0.745,0.688,0.82,0.96,0.939,0.993,3.121,2.912,3.329
2001,0.16,0.028,0.247,0.736,0.676,0.814,0.96,0.939,0.993,3.121,2.912,3.329
2002,0.152,0.017,0.23,0.737,0.677,0.814,0.96,0.939,0.993,3.121,2.912,3.329
2003,0.152,0.017,0.23,0.737,0.677,0.814,0.96,0.939,0.993,3.121,2.912,3.329
2004,0.152,0.017,0.23,0.737,0.677,0.814,0.96,0.939,0.993,3.121,2.912,3.329
2005,0.147,0.016,0.22,0.724,0.666,0.798,0.96,0.939,0.993,3.121,2.912,3.329
2006,0.132,0.012,0.193,0.707,0.653,0.791,0.956,0.934,0.993,3.121,2.912,3.329
2007,0.12,0.016,0.182,0.703,0.628,0.767,0.956,0.934,0.993,3.161,2.936,3.341
