year,evidence_intuition_diffpool_score_mean,evidence_mean,intuition_mean,count,ddi,transparent_laws,clientelism_index,gdp_per_capita,judiciary_index,country
1990,-0.18662294347091316,0.01870343101933068,0.22881220126966662,27266,0.622,3.121,0.255,8150.0,0.96,Poland
1991,-0.23203393703136477,-0.03519082892630524,0.22634197054739041,30113,0.744,3.121,0.22,7625.843,0.96,Poland
1992,-0.2052767375850742,0.02367335635113176,0.24140070612095746,39265,0.764,3.121,0.188,7873.925,0.96,Poland
1993,-0.12011979235846958,0.06759024693239951,0.12411775430854716,24974,0.764,3.121,0.186,8229.529,0.96,Poland
1994,-0.023237814984394027,0.11396045893698309,0.03216646833709187,39705,0.768,3.121,0.181,8721.827,0.96,Poland
1995,0.008330940447024614,0.13772048825344543,0.01866588755315133,41253,0.767,3.121,0.18,9408.274,0.96,Poland
1996,0.02843938957039492,0.12506705566319373,-0.015129958528260027,43681,0.759,3.121,0.172,10066.171,0.96,Poland
1997,0.03475796421193668,0.13786884668442356,-0.0130122961731014,39450,0.741,3.121,0.172,10811.274,0.96,Poland
1998,-0.05001125632356819,0.028388980902063536,0.05511641671567095,43907,0.744,3.121,0.173,11413.256,0.96,Poland
1999,0.031223229883210413,0.056068022854045454,-0.03838418882903071,46029,0.744,3.121,0.173,12058.42,0.96,Poland
2000,0.11867411188542658,0.11106679944880263,-0.10076967258800835,48037,0.745,3.121,0.16,12732.167,0.96,Poland
2001,0.08021096509273577,0.08703926185374379,-0.06472909396890739,45568,0.736,3.121,0.16,13017.584,0.96,Poland
2002,0.015694345824315552,0.05256014038266982,-0.012793525607223358,46852,0.737,3.121,0.152,13415.571,0.96,Poland
2003,0.04001195912197502,0.056956659997063355,-0.014841861522971072,52222,0.737,3.121,0.152,14035.637,0.96,Poland
2004,0.015125264534459065,0.04829346603675816,0.011133833985365854,57465,0.737,3.121,0.152,14906.094,0.96,Poland
2005,-0.01384053223949389,-0.02060776966892949,0.017911861622919044,38903,0.724,3.121,0.147,15580.937,0.96,Poland
2006,0.06684149760619512,0.021342095707688982,-0.07556546015375895,47701,0.707,3.121,0.132,16711.447,0.956,Poland
2007,0.06407095882533312,0.013514862380547405,-0.0851568377036833,39210,0.703,3.161,0.12,18067.428,0.956,Poland
2008,0.10646759948715762,0.0370282052063236,-0.12519986165926367,56116,0.747,3.328,0.113,19011.547,0.959,Poland
2009,0.10051099412982292,0.026755497562927867,-0.1521879270247973,48105,0.748,3.328,0.113,19718.465,0.959,Poland
2010,0.19005578239289656,0.08588554219088572,-0.19185674204572178,40360,0.76,3.328,0.103,20608.693,0.96,Poland
2011,0.1128430037792177,0.03067791583254735,-0.11846170736321551,41311,0.763,3.328,0.1,21837.0,0.961,Poland
2012,0.07966569735195851,-0.0037781941562116425,-0.057659053989118435,47980,0.748,3.328,0.112,22169.826,0.961,Poland
2013,0.04738212832160869,-0.00027148260918205156,-0.0661187139951459,48244,0.748,3.128,0.111,22378.305,0.958,Poland
2014,0.13326698444992938,0.035504206358630185,-0.12277003659482091,41581,0.737,3.128,0.111,23247.818,0.952,Poland
2015,0.08891641678854723,0.04250246897708462,-0.057698533085370346,42760,0.693,3.032,0.121,24285.14,0.867,Poland
2016,-0.07503434887147124,-0.06512679251804343,0.10745364584399336,53381,0.503,2.621,0.14,25020.621,0.765,Poland
2017,-0.08901376266269993,-0.0946768361913783,0.11702036823067336,47121,0.467,2.308,0.14,26310.113,0.678,Poland
2018,-0.051400892382023076,-0.09101615351522895,0.07257361878424376,39190,0.474,2.308,0.132,27880.836,0.587,Poland
2019,-0.003018719369487257,-0.0563360464955405,0.02151952463765547,25674,0.445,2.279,0.134,29142.023,0.561,Poland
2020,-0.1391363448209831,-0.17730192227938574,0.13044594272768062,31268,0.394,2.272,0.226,28577.14,0.572,Poland
2021,-0.09305264046120516,-0.2245067081773679,0.008764869026486932,36291,0.373,2.272,0.238,30687.662,0.543,Poland
2022,-0.10571004507359358,-0.22684765166900497,0.04650657967351165,40955,0.362,2.272,0.233,32468.402,0.564,Poland
2023,-0.2365350868571102,-0.2556840414292735,0.18291386650748057,30539,0.442,2.365,0.262,,0.56,Poland
2024,-0.11915003829417041,-0.23573072000710998,0.0526468726699713,40150,0.605,2.632,0.173,,0.728,Poland
2025,-0.04444959772695505,-0.2453663709624407,-0.03944915458409869,13266,0.653,2.514,0.143,,0.714,Poland
