Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1900,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1901,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1902,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1903,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1904,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1905,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1906,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1907,0.595,0.408,0.878,0.004,0.001,0.006,0.232,0.11,0.33,0.307,0.067,0.464
1908,0.572,0.389,0.847,0.026,0.01,0.036,0.425,0.276,0.568,1.365,1.077,1.7
1909,0.309,0.094,0.452,0.065,0.038,0.084,0.545,0.407,0.704,1.452,1.16,1.765
1910,0.309,0.094,0.452,0.059,0.03,0.075,0.545,0.407,0.704,1.452,1.16,1.765
1911,0.309,0.094,0.452,0.057,0.032,0.076,0.545,0.407,0.704,1.452,1.16,1.765
1912,0.317,0.089,0.461,0.044,0.022,0.059,0.545,0.407,0.704,1.452,1.16,1.765
1913,0.383,0.165,0.547,0.024,0.01,0.033,0.319,0.175,0.438,1.012,0.676,1.316
1914,0.27,0.054,0.382,0.025,0.01,0.034,0.297,0.149,0.401,0.843,0.512,1.119
1915,0.27,0.054,0.382,0.024,0.011,0.034,0.262,0.121,0.354,0.387,0.074,0.547
1916,0.27,0.054,0.382,0.024,0.011,0.034,0.262,0.121,0.354,0.387,0.074,0.547
1917,0.27,0.054,0.382,0.024,0.011,0.034,0.262,0.121,0.354,0.387,0.074,0.547
1918,0.27,0.054,0.382,0.025,0.01,0.035,0.262,0.121,0.354,0.387,0.074,0.547
1919,0.348,0.139,0.524,0.041,0.02,0.056,0.413,0.259,0.545,1.07,0.744,1.371
1920,0.348,0.139,0.524,0.041,0.019,0.055,0.488,0.345,0.642,1.07,0.744,1.371
1921,0.348,0.139,0.524,0.041,0.019,0.055,0.488,0.345,0.642,1.07,0.744,1.371
1922,0.348,0.139,0.524,0.045,0.026,0.066,0.488,0.345,0.642,1.07,0.744,1.371
1923,0.342,0.119,0.5,0.062,0.033,0.083,0.433,0.281,0.592,0.446,0.132,0.631
1924,0.365,0.125,0.516,0.061,0.035,0.084,0.55,0.408,0.712,0.652,0.304,0.894
1925,0.365,0.125,0.516,0.047,0.027,0.067,0.55,0.408,0.712,0.652,0.304,0.894
1926,0.365,0.125,0.516,0.046,0.025,0.064,0.55,0.408,0.712,0.652,0.304,0.894
1927,0.361,0.128,0.517,0.046,0.024,0.064,0.55,0.408,0.712,0.652,0.304,0.894
