year,evidence_intuition_diffpool_score_mean,evidence_mean,intuition_mean,count,ddi,transparent_laws,clientelism_index,gdp_per_capita,judiciary_index,country
1982,0.06335455898623588,0.5116024517218806,0.1294068835721635,6920,0.025,0.636,0.289,6381.0,0.295,Turkey
1983,0.09991146449970836,0.6228595284296816,0.10890989259319289,11743,0.136,0.79,0.409,6489.0,0.406,Turkey
1984,0.15111909146475652,0.34796549749326894,-0.04869214464989817,2341,0.323,1.222,0.359,6736.0,0.814,Turkey
1985,0.0442459749191112,0.3169043595901632,0.05691390839293811,3157,0.324,1.222,0.359,6958.0,0.814,Turkey
1986,-0.03443122309419647,0.21763273635955413,0.1256118480498511,4026,0.329,1.311,0.359,7323.0,0.775,Turkey
1987,-0.16609864187989712,0.22238538390972756,0.30549374528164525,2483,0.336,1.311,0.359,7838.0,0.744,Turkey
1988,-0.021687083355383215,0.12803980786382133,0.08656384361985384,7564,0.374,1.311,0.361,8019.0,0.744,Turkey
1989,0.13124214492246894,0.16963162689410466,-0.0836092297009888,5777,0.374,1.311,0.307,7992.0,0.744,Turkey
1990,0.04529073306660308,0.09675731356464394,0.011157310928284094,7946,0.391,2.216,0.345,8606.0,0.744,Turkey
1991,-0.1081589166795156,0.038730006172377596,0.15328632935333233,4243,0.409,2.216,0.347,8658.379,0.744,Turkey
1992,0.03195088472991917,0.10020742575228415,0.030631263180005353,11792,0.421,2.216,0.357,9150.435,0.744,Turkey
1993,0.03353215207232012,0.06986500317346173,0.0028405381600402806,9461,0.417,2.216,0.357,9865.301,0.744,Turkey
1994,-0.005961816303314744,0.06600261597398434,0.0726575436315956,11976,0.419,2.216,0.357,9308.695,0.744,Turkey
1995,-0.1258568277855307,0.0017200581488114712,0.20433649205326565,11807,0.421,2.216,0.358,9962.536,0.744,Turkey
1996,0.09086982461459676,0.13917418707370224,-0.003308421729254728,9432,0.43,2.216,0.37,10644.634,0.768,Turkey
1997,0.0366649454027995,0.08477871998379345,-0.021059856757061894,10287,0.434,2.216,0.37,11432.437,0.836,Turkey
1998,0.20670840344555907,0.25486751885375797,-0.1061273423487669,12901,0.433,2.216,0.291,11772.83,0.823,Turkey
1999,0.09515942656155092,0.08382751037734318,-0.13865894682717667,12749,0.442,2.353,0.319,11151.674,0.823,Turkey
2000,0.19368991837221622,0.14257248367670558,-0.11265655823351768,15252,0.457,2.353,0.364,11904.008,0.823,Turkey
2001,0.057450469044513265,0.043286988274905194,-0.06493832336446083,15979,0.454,2.353,0.364,10950.992,0.834,Turkey
2002,0.04872914635150697,0.06186336164995697,-0.029717190430528707,9919,0.491,2.876,0.335,11753.953,0.874,Turkey
2003,0.10434142843246674,0.04239425587825035,-0.10979906178204596,16595,0.503,2.876,0.329,12380.207,0.856,Turkey
2004,0.24965826225959445,0.1846942057904333,-0.1865520253356198,17614,0.513,2.876,0.329,13423.795,0.856,Turkey
2005,0.17084532572505381,0.14628258994840967,-0.07789888974560026,20258,0.499,2.372,0.329,14487.758,0.856,Turkey
2006,0.06692058538195454,-0.031099864960298512,-0.028540007037747242,21756,0.494,2.372,0.312,15425.188,0.856,Turkey
2007,0.06549695193487995,-0.005531435626577904,-0.016103197278522406,21734,0.471,2.288,0.39,16090.835,0.849,Turkey
2008,0.14195233942494787,0.07120932574991608,-0.10419584585341851,25996,0.4,2.109,0.508,16182.732,0.847,Turkey
2009,0.17737022052221252,0.05991614399598266,-0.14720755043586548,16943,0.393,2.109,0.51,15188.421,0.848,Turkey
2010,0.04545040493507856,0.01753664404642414,-0.017964233526404413,19284,0.361,1.851,0.51,16528.12,0.745,Turkey
2011,-0.08442211613864711,-0.044153669896873186,0.08976860822989342,10555,0.31,1.851,0.506,17919.0,0.715,Turkey
2012,-0.219131583828588,-0.09835558873203014,0.18320148288708457,14986,0.301,1.839,0.539,18539.223,0.712,Turkey
2013,-0.11822745475046391,-0.08620731416705063,0.09441496245699965,16206,0.231,1.619,0.538,19855.717,0.662,Turkey
2014,-0.11789362996913151,-0.0890930690583772,0.10437492929762508,16091,0.2,1.578,0.552,20557.4,0.582,Turkey
2015,-0.15413391556375758,-0.1523888588984279,0.09846440688257248,14897,0.166,1.508,0.55,21519.33,0.582,Turkey
2016,-0.10536901774076768,-0.13884296284665207,0.04819338021030868,32597,0.103,1.28,0.605,21937.162,0.33,Turkey
2017,-0.15958062597361922,-0.14948386220012103,0.08045102959774526,25446,0.105,0.926,0.572,23278.996,0.137,Turkey
2018,-0.14329451332122653,-0.1703746819604006,0.060250898975461695,13053,0.102,0.877,0.588,23650.49,0.155,Turkey
2019,-0.07349214528097921,-0.14749656454360152,-0.007978528104523064,22543,0.105,1.006,0.592,23497.504,0.169,Turkey
2020,-0.15892128743203923,-0.21385589238005095,0.01718035960817383,30289,0.099,1.006,0.592,23721.88,0.156,Turkey
2021,-0.10398804107037964,-0.23662396422483076,-0.018908262828233522,29376,0.094,0.986,0.606,26175.93,0.166,Turkey
2022,-0.07950379930222007,-0.24211149606745114,-0.05241873107550302,19141,0.094,0.955,0.615,27361.988,0.176,Turkey
