Year,Clientelism Index,Clientelism Index CI (Low),Clientelism Index CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Judicial constraints on the executive index,Judicial constraints on the executive index CI (Low),Judicial constraints on the executive index CI (High),Transparent laws with predictable enforcement,Transparent laws with predictable enforcement CI (Low),Transparent laws with predictable enforcement CI (High)
1900,0.438,0.215,0.619,0.338,0.298,0.387,0.942,0.911,0.988,2.903,2.704,3.09
1901,0.442,0.235,0.625,0.338,0.3,0.386,0.942,0.911,0.988,2.903,2.704,3.09
1902,0.442,0.233,0.624,0.338,0.301,0.387,0.942,0.911,0.988,2.903,2.704,3.09
1903,0.443,0.223,0.614,0.338,0.297,0.382,0.942,0.911,0.988,2.903,2.704,3.09
1904,0.443,0.223,0.614,0.337,0.296,0.381,0.942,0.911,0.988,2.903,2.704,3.09
1905,0.441,0.227,0.618,0.335,0.293,0.379,0.942,0.911,0.988,2.903,2.704,3.09
1906,0.442,0.23,0.62,0.336,0.294,0.381,0.942,0.911,0.988,2.903,2.704,3.09
1907,0.445,0.25,0.631,0.337,0.299,0.388,0.942,0.911,0.988,2.903,2.704,3.09
1908,0.444,0.241,0.626,0.337,0.298,0.386,0.942,0.911,0.988,2.903,2.704,3.09
1909,0.444,0.194,0.603,0.336,0.291,0.378,0.942,0.911,0.988,2.903,2.704,3.09
1910,0.445,0.197,0.602,0.337,0.297,0.383,0.942,0.911,0.988,2.903,2.704,3.09
1911,0.449,0.214,0.6,0.341,0.299,0.386,0.942,0.911,0.988,2.903,2.704,3.09
1912,0.449,0.218,0.607,0.341,0.299,0.386,0.942,0.911,0.988,2.903,2.704,3.09
1913,0.451,0.242,0.642,0.361,0.322,0.405,0.942,0.911,0.988,2.903,2.704,3.09
1914,0.432,0.227,0.618,0.356,0.311,0.394,0.942,0.911,0.988,2.903,2.704,3.09
1915,0.437,0.243,0.634,0.358,0.316,0.401,0.942,0.911,0.988,2.903,2.704,3.09
1916,0.437,0.242,0.629,0.357,0.316,0.399,0.942,0.911,0.988,2.903,2.704,3.09
1917,0.435,0.233,0.603,0.347,0.309,0.389,0.939,0.913,0.992,2.903,2.704,3.09
1918,0.435,0.228,0.601,0.345,0.306,0.385,0.939,0.913,0.992,2.903,2.704,3.09
1919,0.443,0.213,0.602,0.351,0.308,0.391,0.939,0.913,0.992,2.903,2.704,3.09
1920,0.442,0.217,0.605,0.411,0.356,0.463,0.934,0.904,0.99,2.903,2.704,3.09
1921,0.44,0.235,0.626,0.394,0.338,0.449,0.934,0.904,0.99,2.903,2.704,3.09
1922,0.439,0.237,0.625,0.396,0.341,0.452,0.934,0.904,0.99,2.903,2.704,3.09
1923,0.434,0.248,0.62,0.406,0.358,0.47,0.934,0.904,0.99,2.903,2.704,3.09
1924,0.435,0.243,0.617,0.414,0.366,0.479,0.934,0.904,0.99,2.903,2.704,3.09
1925,0.444,0.218,0.605,0.416,0.363,0.474,0.934,0.904,0.99,2.903,2.704,3.09
1926,0.446,0.222,0.613,0.418,0.362,0.475,0.934,0.904,0.99,2.903,2.704,3.09
1927,0.457,0.24,0.653,0.417,0.363,0.482,0.934,0.904,0.99,2.903,2.704,3.09
1928,0.455,0.241,0.647,0.417,0.363,0.481,0.934,0.904,0.99,2.903,2.704,3.09
1929,0.445,0.243,0.618,0.42,0.363,0.475,0.934,0.904,0.99,2.903,2.704,3.09
1930,0.445,0.243,0.62,0.42,0.362,0.475,0.941,0.91,0.986,2.903,2.704,3.09
1931,0.445,0.241,0.631,0.432,0.366,0.487,0.941,0.91,0.986,2.903,2.704,3.09
1932,0.414,0.205,0.593,0.448,0.388,0.504,0.941,0.91,0.986,2.903,2.704,3.09
1933,0.362,0.137,0.508,0.465,0.401,0.517,0.942,0.914,0.991,2.903,2.704,3.09
1934,0.347,0.125,0.494,0.476,0.415,0.526,0.942,0.914,0.991,2.903,2.704,3.09
1935,0.359,0.138,0.499,0.481,0.414,0.531,0.942,0.914,0.991,2.903,2.704,3.09
1936,0.358,0.141,0.503,0.483,0.427,0.543,0.942,0.914,0.991,2.903,2.704,3.09
1937,0.354,0.169,0.525,0.484,0.415,0.53,0.933,0.9,0.985,2.903,2.704,3.09
1938,0.355,0.166,0.524,0.484,0.415,0.53,0.933,0.9,0.985,2.903,2.704,3.09
1939,0.361,0.146,0.516,0.478,0.418,0.531,0.933,0.9,0.985,2.903,2.704,3.09
1940,0.352,0.14,0.497,0.49,0.437,0.546,0.92,0.882,0.981,2.903,2.704,3.09
1941,0.353,0.139,0.501,0.487,0.429,0.544,0.92,0.882,0.981,2.903,2.704,3.09
1942,0.352,0.139,0.497,0.476,0.426,0.531,0.92,0.882,0.981,2.903,2.704,3.09
1943,0.345,0.138,0.481,0.47,0.417,0.524,0.92,0.882,0.981,2.903,2.704,3.09
1944,0.343,0.137,0.481,0.47,0.418,0.526,0.92,0.882,0.981,2.903,2.704,3.09
1945,0.365,0.144,0.518,0.481,0.432,0.539,0.92,0.882,0.981,2.903,2.704,3.09
1946,0.368,0.185,0.55,0.506,0.444,0.564,0.936,0.909,0.991,2.903,2.704,3.09
1947,0.362,0.175,0.532,0.491,0.428,0.552,0.936,0.909,0.991,2.903,2.704,3.09
1948,0.364,0.171,0.533,0.484,0.422,0.549,0.936,0.909,0.991,2.903,2.704,3.09
1949,0.375,0.154,0.535,0.469,0.411,0.534,0.936,0.909,0.991,2.903,2.704,3.09
1950,0.35,0.168,0.53,0.491,0.424,0.544,0.936,0.909,0.991,2.903,2.704,3.09
1951,0.279,0.071,0.404,0.511,0.446,0.571,0.936,0.909,0.991,2.903,2.704,3.09
1952,0.278,0.075,0.405,0.51,0.445,0.569,0.936,0.909,0.991,2.903,2.704,3.09
1953,0.273,0.098,0.41,0.507,0.447,0.564,0.936,0.909,0.991,2.903,2.704,3.09
1954,0.274,0.097,0.412,0.508,0.45,0.57,0.936,0.909,0.991,2.903,2.704,3.09
1955,0.279,0.09,0.425,0.513,0.453,0.576,0.893,0.848,0.967,2.903,2.704,3.09
1956,0.281,0.093,0.424,0.517,0.46,0.588,0.893,0.848,0.967,2.903,2.704,3.09
1957,0.287,0.107,0.423,0.519,0.453,0.574,0.893,0.848,0.967,2.903,2.704,3.09
1958,0.287,0.102,0.419,0.531,0.469,0.598,0.893,0.848,0.967,2.903,2.704,3.09
1959,0.281,0.076,0.398,0.531,0.478,0.603,0.893,0.848,0.967,2.903,2.704,3.09
1960,0.283,0.077,0.4,0.555,0.496,0.618,0.893,0.848,0.967,2.903,2.704,3.09
